statNm,statId,chgerId,chgerType,addr,location,latitute,longtitute,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,output,method,zcode,zscode,kind,kindDetail,parkingFree,limitYn,limitDetail,delYn
국립극장,ME174041,2,6,국립극장 좌측 출구 주차장,,37.5517908,127.0002167,05:00~23:00,ME,환경부,환경부,1661-9408,2,2022-08-21 16:41,2022-08-21 16:02,2022-08-21 16:41,,50,단독,11,11140,A0,A004,N,N,,N
홈플러스 상봉점,ME174042,1,6,서울특별시 중랑구 망우로 353,,37.5983156,127.0905669,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 14:46,2022-08-21 14:25,2022-08-21 14:46,,50,단독,11,11260,E0,E001,N,N,,N
홈플러스 신내점,ME174043,1,6,서울특별시 중랑구 신내로 201,,37.6159847,127.0939656,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-19 18:30,2022-08-19 17:47,2022-08-19 18:30,,50,단독,11,11260,E0,E001,N,N,,N
용마폭포공원 공영주차장,ME174044,1,6,서울특별시 중랑구 용마산로 250-12,,37.5745068,127.089592,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 17:26,2022-08-21 14:54,2022-08-21 15:35,,50,단독,11,11260,B0,B001,N,N,,N
서울만남휴게소(부산방향),ME178009,1,6,서울특별시 서초구 양재대로12길 73-71 (원지동),,37.4600218,127.0420378,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 1:10,2022-08-21 0:40,2022-08-21 1:10,,50,단독,11,11650,C0,C001,Y,N,,N
서울만남휴게소(부산방향),ME178009,2,6,서울특별시 서초구 양재대로12길 73-71 (원지동),,37.4600218,127.0420378,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 16:14,2022-08-21 15:33,2022-08-21 16:14,,50,단독,11,11650,C0,C001,Y,N,,N
파크하얏트서울호텔,ME181101,1,6,서울특별시 강남구 테헤란로606,,37.508834,127.064114,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-20 14:43,2022-08-19 15:33,2022-08-19 16:06,,50,단독,11,11680,E0,E003,Y,N,,N
스위스그랜드호텔(구 그랜드힐튼호텔),ME181102,1,6,서울특별시 서대문구 연희로 353,,37.590003,126.934744,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 16:55,2022-08-21 16:14,2022-08-21 16:54,,50,단독,11,11410,E0,E003,Y,N,,N
롯데 VIC마켓 금천점,ME181133,1,6,,,37.470581,126.895698,10:00~22:00,ME,환경부,환경부,1661-9408,2,2022-08-21 16:38,2022-08-21 11:09,2022-08-21 11:13,,50,단독,11,11545,E0,E001,Y,N,,N
롯데 VIC마켓 금천점,ME181133,2,6,,,37.470581,126.895698,10:00~22:00,ME,환경부,환경부,1661-9408,2,2022-08-21 11:40,2022-08-21 10:59,2022-08-21 11:40,,50,단독,11,11545,E0,E001,Y,N,,N
