busiId,statId,chgerId,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt
KP,KP000210,1,3,2022-08-20 17:17:05,2022-08-20 13:35:50,2022-08-20 14:16:39,2022-08-20 17:16:10
KP,KP000216,3,2,2022-08-20 17:15:20,2022-08-20 15:01:41,2022-08-20 17:14:01,2022-08-20 15:01:41
KP,KP000221,1,3,2022-08-20 17:15:18,2022-08-20 16:04:07,2022-08-20 16:55:47,2022-08-20 17:14:21
KP,KP000290,1,3,2022-08-20 17:17:04,2022-08-20 16:06:41,2022-08-20 17:00:26,2022-08-20 17:16:49
KP,KP000689,3,2,2022-08-20 17:14:06,2022-08-20 14:42:41,2022-08-20 17:13:44,2022-08-20 14:42:41
KP,KP000834,1,2,2022-08-20 17:15:13,2022-08-20 15:45:45,2022-08-20 17:13:04,2022-08-20 15:45:45
KP,KP000926,7,2,2022-08-20 17:14:08,2022-08-20 14:50:53,2022-08-20 15:55:01,2022-08-20 14:50:53
KP,KP000948,2,2,2022-08-20 17:16:07,2022-08-20 16:13:33,2022-08-20 16:55:51,2022-08-20 16:13:33
KP,KP000978,2,3,2022-08-20 17:15:13,2022-08-18 16:53:28,2022-08-18 19:55:01,2022-08-20 17:14:50
KP,KP001287,1,2,2022-08-20 17:15:17,2022-08-20 14:23:31,2022-08-20 17:14:10,2022-08-20 14:23:31
KP,KP001859,4,2,2022-08-20 17:15:14,2022-08-20 16:16:34,2022-08-20 17:14:45,2022-08-20 16:16:34
KP,KP002541,1,2,2022-08-20 17:17:06,2022-08-20 16:51:15,2022-08-20 17:15:51,2022-08-20 16:51:15
KP,KP003151,2,2,2022-08-20 17:16:06,2022-08-20 14:28:48,2022-08-20 17:13:01,2022-08-20 14:28:48
KP,KP003275,4,9,2022-08-20 17:18:10,2022-08-19 18:52:21,2022-08-19 21:04:05,2022-08-19 18:52:21
KP,KP003608,8,2,2022-08-20 17:14:05,2022-08-20 13:41:14,2022-08-20 15:51:29,2022-08-20 13:41:14
KP,KP003850,2,2,2022-08-20 17:17:04,2022-08-20 16:44:51,2022-08-20 17:15:55,2022-08-20 16:44:51
KP,KP003993,3,3,2022-08-20 17:18:02,2022-08-20 14:12:40,2022-08-20 15:12:51,2022-08-20 17:17:46
KP,KP004616,2,3,2022-08-20 17:14:06,2022-08-19 16:04:33,2022-08-19 17:04:51,2022-08-20 17:14:02
MO,MO115601,3,2,2022-08-20 17:16:09,2022-05-30 09:43:12,2022-05-30 09:43:15,2022-05-11 15:06:18
NT,NT100009,4,3,2022-08-20 17:17:53,,,
NT,NT100019,19,3,2022-08-20 17:16:53,,,
NT,NT100032,6,1,2022-08-20 17:17:53,,,
NT,NT100044,3,1,2022-08-20 17:15:52,,,
NT,NT100067,3,2,2022-08-20 17:16:51,,,
NT,NT100084,10,3,2022-08-20 17:16:51,,,
NT,NT100120,6,3,2022-08-20 17:17:52,,,
NT,NT100154,5,3,2022-08-20 17:17:51,,,
PI,PI000211,1,2,2022-08-20 17:14:39,2022-08-16 12:42:37,2022-08-15 17:52:49,2022-08-16 12:42:37
PI,PI000248,1,3,2022-08-20 17:18:00,2022-08-20 10:30:50,2022-08-20 11:37:07,2022-08-20 10:30:50
PI,PI000430,6,3,2022-08-20 17:14:47,2022-08-18 09:44:55,2022-08-18 21:01:03,2022-08-18 09:44:55
PI,PI000430,7,3,2022-08-20 17:18:17,2022-08-18 14:29:15,2022-08-18 16:43:41,2022-08-18 14:29:15
PI,PI121471,2,3,2022-08-20 17:14:54,2022-08-10 17:30:57,2022-08-10 20:27:52,2022-08-10 17:30:57
PI,PI122374,1,2,2022-08-20 17:14:36,2022-08-19 08:41:41,2022-08-19 15:09:12,2022-08-19 08:41:41
PI,PI200255,9,3,2022-08-20 17:14:39,2022-06-28 21:52:26,2022-06-29 08:25:15,2022-06-28 21:52:26
PI,PI200342,16,2,2022-08-20 17:14:32,2022-08-07 15:34:13,2022-08-07 22:12:54,2022-08-07 15:34:13
PI,PI200342,17,2,2022-08-20 17:14:32,2022-07-18 20:03:50,2022-07-10 17:47:06,2022-07-18 20:03:50
PI,PI200342,32,3,2022-08-20 17:14:32,2022-08-11 16:28:23,2022-08-11 17:02:27,2022-08-11 16:28:23
