busiId,statId,chgerId,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt
PW,PW011194,2,2,8/20/2022 17:15,8/19/2022 19:03,8/19/2022 22:33,8/19/2022 19:03
PW,PW011777,2,2,8/20/2022 17:15,8/3/2022 9:40,8/3/2022 9:40,4/16/2022 19:37
PW,PW012034,1,1,8/20/2022 17:15,8/19/2022 19:13,8/19/2022 20:58,8/19/2022 19:13
PW,PW012034,2,1,8/20/2022 17:15,7/16/2022 17:13,7/16/2022 19:13,7/16/2022 17:13
PW,PW012050,3,5,8/20/2022 17:15,8/20/2022 15:15,8/20/2022 16:49,8/20/2022 15:15
PW,PW012169,1,2,8/20/2022 17:15,8/20/2022 8:45,8/20/2022 17:10,8/20/2022 8:45
PW,PW012206,3,3,8/20/2022 17:15,8/19/2022 19:31,8/19/2022 22:31,8/20/2022 17:03
PW,PW012245,1,3,8/20/2022 17:15,8/20/2022 9:12,8/20/2022 16:21,8/20/2022 17:11
PW,PW012511,1,1,8/20/2022 17:15,8/14/2022 22:08,8/15/2022 4:39,8/14/2022 22:08
PW,PW012541,4,3,8/20/2022 17:15,8/19/2022 21:31,8/20/2022 6:16,8/20/2022 17:13
PW,PW012558,3,2,8/20/2022 17:15,8/20/2022 14:59,8/20/2022 17:10,8/20/2022 14:59
PW,PW012593,4,3,8/20/2022 17:15,8/20/2022 15:10,8/20/2022 16:10,8/20/2022 17:11
PW,PW012679,1,3,8/20/2022 17:15,8/20/2022 11:48,8/20/2022 14:03,8/20/2022 17:08
PW,PW012795,5,3,8/20/2022 17:15,8/20/2022 11:53,8/20/2022 14:38,8/20/2022 17:14
PW,PW012882,5,2,8/20/2022 17:15,8/13/2022 22:07,8/14/2022 4:53,8/13/2022 22:07
PW,PW012884,5,3,8/20/2022 17:15,8/19/2022 21:44,8/20/2022 0:15,8/20/2022 17:14
PW,PW012932,2,2,8/20/2022 17:15,8/18/2022 21:19,8/19/2022 0:34,8/18/2022 21:19
PW,PW013099,1,1,8/20/2022 17:15,8/19/2022 21:10,8/19/2022 23:10,8/19/2022 21:10
PW,PW100551,7,3,8/20/2022 17:15,8/13/2022 19:57,8/14/2022 0:28,8/19/2022 21:35
RE,RE000045,1,2,8/20/2022 17:18,8/25/2021 11:24,8/25/2021 11:25,8/25/2021 11:24
RE,RE000064,1,3,8/20/2022 17:14,8/16/2022 22:31,8/17/2022 2:01,8/20/2022 17:12
SE,SE000023,1,2,8/20/2022 17:14,8/20/2022 16:31,8/20/2022 17:11,8/20/2022 16:31
SF,SF000438,1,3,8/20/2022 17:13,8/19/2022 12:02,8/20/2022 0:06,8/20/2022 17:12
SF,SF000706,1,2,8/20/2022 17:14,8/20/2022 11:09,8/20/2022 17:13,8/20/2022 11:09
SF,SF000720,3,4,8/20/2022 17:13,7/1/2022 17:59,7/1/2022 23:49,7/26/2022 13:22
SF,SF000817,49,2,8/20/2022 17:13,8/20/2022 12:27,8/20/2022 17:09,8/20/2022 12:27
SF,SF001157,1,3,8/20/2022 17:13,8/19/2022 23:44,8/20/2022 9:08,8/20/2022 17:09
SF,SF001372,4,3,8/20/2022 17:14,8/19/2022 18:28,8/19/2022 20:13,8/20/2022 17:09
SF,SF001438,51,3,8/20/2022 17:14,8/11/2022 17:31,8/11/2022 21:41,8/20/2022 17:08
ST,ST113801,4,3,8/20/2022 17:16,8/13/2022 9:35,8/13/2022 13:01,8/19/2022 12:51
ST,ST115003,1,2,8/20/2022 17:16,7/9/2022 16:12,7/15/2022 18:18,8/16/2022 19:08
ST,ST115003,2,2,8/20/2022 17:16,6/26/2022 20:05,6/26/2022 20:46,8/20/2022 12:19
ST,ST115406,3,3,8/20/2022 17:16,8/20/2022 11:16,8/20/2022 11:54,8/20/2022 11:16
ST,ST116804,1,2,8/20/2022 17:16,8/20/2022 14:43,8/20/2022 15:29,8/20/2022 16:10
ST,ST117102,2,3,8/20/2022 17:16,2/21/2022 19:30,2/21/2022 19:49,8/14/2022 21:25
TD,TDA00002,9,9,8/20/2022 17:18,6/11/2022 21:34,6/11/2022 21:48,6/11/2022 21:34
TD,TDA00005,1,3,8/20/2022 17:15,8/19/2022 23:22,8/20/2022 6:07,8/20/2022 17:09
TD,TDA00018,7,9,8/20/2022 17:18,8/12/2022 14:12,8/12/2022 19:48,8/12/2022 14:12
UN,UN000015,36,3,8/20/2022 17:17,8/14/2022 18:03,8/15/2022 10:20,8/20/2022 17:17
